lookback_months,target_volatility,ewma_com,cagr,sharpe_ratio,sortino_ratio,volatility,max_drawdown,win_rate,total_return,n_months,success
12,0.3,120,0.01853264980571545,0.2264447051587939,0.36261083107589503,0.10534802181759599,-0.4487530649543767,0.5277777777777778,0.5538136217666261,288,True
12,0.5,120,0.02461374332009747,0.2250760425748842,0.36018771166835534,0.17546728419251378,-0.6598082954502537,0.5277777777777778,0.7924384203298183,288,True
12,0.6,120,0.025670008397727262,0.2240815613498208,0.3584329877477177,0.2104648766717105,-0.7398079867438949,0.5277777777777778,0.837315572844602,288,True
9,0.3,60,0.008897161017528132,0.13726963906347758,0.2158360740055792,0.10362076737565974,-0.44581531203717467,0.4948453608247423,0.23961643032091562,291,True
9,0.4,60,0.009438745985395292,0.13713878335664936,0.21564815111871574,0.13816303551703785,-0.5607396730221402,0.4948453608247423,0.25585438308473707,291,True
9,0.3,45,0.008847859704919525,0.13653301604375162,0.21392108967686174,0.10456371567736833,-0.44548127725825076,0.49140893470790376,0.23814830220042627,291,True
9,0.4,45,0.009326317112990479,0.13641187699761023,0.2137475041675336,0.1394201389489719,-0.5607243278017099,0.49140893470790376,0.25246682536052956,291,True
9,0.5,60,0.008513897004357451,0.13566172872136864,0.2132657169348351,0.17262490508118986,-0.6582178040995178,0.4948453608247423,0.22824713708036648,291,True
9,0.5,45,0.008336832768327973,0.1350913563355458,0.21163397889731791,0.17420824931300438,-0.6585467499121396,0.49140893470790376,0.2230284612177209,291,True
9,0.6,60,0.006222652627099201,0.13401991587215487,0.21063611393728576,0.20705904431448763,-0.7390768774268928,0.4948453608247423,0.16233599365080642,291,True
9,0.6,45,0.0059338976103522345,0.13346359365225116,0.20903693227753142,0.20896004449941585,-0.7397090716670685,0.49140893470790376,0.15427421758298632,291,True
9,0.3,90,0.008358881880030866,0.13234983773399267,0.20756920254321248,0.10272907685115493,-0.45272979483995973,0.4948453608247423,0.22367716163160334,291,True
9,0.4,90,0.008762978862742576,0.13220887673204376,0.20736629335531892,0.1369742742117805,-0.567749974290784,0.4948453608247423,0.23562456753903782,291,True
9,0.5,90,0.0076840131865660855,0.13047356586900768,0.20456015282424,0.17111755249749058,-0.6647395792513934,0.4948453608247423,0.20397075524454356,291,True
9,0.6,90,0.005301216821646859,0.12883269724153604,0.20193720653987332,0.2052480473119632,-0.7447716844205973,0.4948453608247423,0.13679734210551442,291,True
9,0.3,120,0.007670626154077542,0.12579419314632762,0.19677755837109087,0.10230653018974654,-0.4604447156404567,0.49828178694158076,0.20358294385492326,291,True
9,0.4,120,0.007864023241250129,0.12564810583505215,0.19656701745503444,0.1364109561935819,-0.575654314328144,0.49828178694158076,0.20919715008468365,291,True
9,0.5,120,0.006557911992048249,0.12373408302849297,0.1934743603584888,0.17039712293606152,-0.6722588774668383,0.49828178694158076,0.17176385753692602,291,True
9,0.6,120,0.003990409959103047,0.12211817587073268,0.19089850544269177,0.2043817504609871,-0.7515088082463929,0.49828178694158076,0.10139205328435663,291,True
6,0.3,45,0.004900468775250522,0.09889898519306696,0.1693677293661282,0.09045572559169064,-0.4596318454155343,0.4897959183673469,0.12723559998372425,294,True
6,0.4,45,0.0047189249588519555,0.09876060613064584,0.16914452887451623,0.12060989092027581,-0.5664792817067189,0.4897959183673469,0.12225688150229375,294,True
6,0.5,45,0.0034478205570860343,0.0973933569611278,0.166788781847827,0.15072408832749867,-0.654872165459945,0.4897959183673469,0.08798386247252066,294,True
6,0.6,45,0.001219109213542513,0.09611718521831226,0.1645793782328374,0.18084214101336124,-0.7273802348512987,0.4897959183673469,0.030299961118791074,294,True
6,0.3,60,0.004497335655531343,0.09449935913619698,0.16133490688390006,0.0896073629019867,-0.46353275225319046,0.47619047619047616,0.11620852301769724,294,True
6,0.4,60,0.004215094231888372,0.09435006037351698,0.1610938751542192,0.11947877500939302,-0.5705770288561824,0.47619047619047616,0.10854990833363631,294,True
6,0.5,60,0.0028541885796073974,0.09291291810674152,0.1586255598338435,0.14930969740058064,-0.6588742601301621,0.47619047619047616,0.07232374326813473,294,True
6,0.6,60,0.0005633704395684447,0.09163607868885118,0.1564218062163526,0.17914442831909003,-0.7311009350187037,0.47619047619047616,0.013894330561891488,294,True
6,0.3,90,0.00367038387173535,0.08526865879455067,0.1459461157149713,0.08881603495486827,-0.46959693440521777,0.47959183673469385,0.09391147165269853,294,True
