Date,strategy_returns,cumulative_returns
2007-05-22,0.005039531897240019,1.8874914106670722
2007-05-23,0.00269782044356005,1.892583523581814
2007-05-24,0.0010460890301172035,1.8945633344444135
2007-05-25,-0.0010977600474016537,1.8924835585085882
2007-05-29,-0.007677253312593662,1.8779544828399992
2007-05-30,0.0017970563048386326,1.8813292727835869
2007-05-31,-0.005575249969701381,1.8708403918125018
2007-06-01,-0.01566623871141366,1.8415313596434124
2007-06-04,-0.0045278801228396835,1.8331931264044972
2007-06-05,-0.0020780499034924356,1.8293836596050892
2007-06-06,0.0111481336555279,1.8497778731496055
2007-06-07,-0.015342634545592461,1.8213974072513477
2007-06-08,0.01453666793597538,1.847874456540007
2007-06-11,-0.017198237470217353,1.8160942728212832
2007-06-12,0.008214344721228634,1.8310122972244862
2007-06-13,-0.015370744142238331,1.8028682756825565
2007-06-14,0.003231646566077006,1.8086945087547555
2007-06-15,-0.0028782329461205236,1.8034886646301902
2007-06-18,0.008544750584818994,1.8188990254520037
2007-06-19,0.019537984535126562,1.8544366464822415
2007-06-20,-0.002582248612121363,1.8496480300255955
2007-06-21,0.01813162829699504,1.8831851605862886
2007-06-22,0.004362042365529429,1.8913996940389024
2007-06-25,-0.007164797275305716,1.8778481986645383
2007-06-26,0.0224952226057331,1.920090811913272
2007-06-27,0.014312684140680267,1.947572465225609
2007-06-28,-0.02369556927322199,1.9014236269612357
2007-06-29,0.013785703467917187,1.9276360892494149
2007-07-02,-0.013849007560944364,1.9009402424746507
2007-07-03,0.01586211657939026,1.9310931782112377
2007-07-05,-0.013299504478497554,1.9054105958392211
2007-07-06,-0.012964045629150302,1.880708765932495
2007-07-09,0.004280842280597246,1.8887597835351888
2007-07-10,0.019673286365877847,1.9259178956330303
2007-07-11,-0.00036148224574853415,1.9252217105069895
2007-07-12,-0.008427874876629637,1.9089961828210658
2007-07-13,0.019070431966276738,1.9454015646494367
2007-07-16,0.007167539326836666,1.959345306870551
2007-07-17,0.0020477377685635192,1.9633575322570875
2007-07-18,-0.008121284015433695,1.9474125481137867
2007-07-19,0.004313480084647551,1.9558126733566683
2007-07-20,-0.01358172725573523,1.9292493590638276
2007-07-23,-0.0032850268107481925,1.9229117231946842
