Date,6M Lookback
2015-01-31,5.5623015604414165
2015-02-28,6.991258812518811
2015-03-31,6.286585537489112
2015-04-30,7.1912796199330025
2015-05-31,7.48541167737226
2015-06-30,7.770683130008401
2015-07-31,8.12059198975743
2015-08-31,8.072515791616876
2015-09-30,8.606921078419703
2015-10-31,8.694923992711553
2015-11-30,8.037867700477735
2015-12-31,7.299574923857263
2016-01-31,7.236923685968705
2016-02-29,7.2414148574947905
2016-03-31,7.955469652145937
2016-04-30,8.596509234065337
2016-05-31,8.696131354424379
2016-06-30,8.323653586234457
2016-07-31,9.116720443702809
2016-08-31,9.031695339624978
2016-09-30,8.35820355282917
2016-10-31,8.756309633054478
2016-11-30,8.45213278808193
2016-12-31,8.899254893393776
2017-01-31,9.204991980895697
2017-02-28,9.197086152887188
2017-03-31,9.876203137275752
